name;cover;description;god;system;system_dop;system_dop2;system_dop3;obl;montage;img1;img2;img3;img4;img5;img6;img7;img8;img9;img10;img11;img12;img13;img14;img15;img16;img17;img18;img19;img20;ronson_system;ronson_montage;ronson_vitrage;ronson_granit;ronson_klinker;ronson_decor;ronson_brick;montagepartner;inside;Keyword;ncTitle;ncKeywords;ncDescription;ncSMO_Title;ncSMO_Description;ncSMO_Image
Школа №1329;0.jpg:image/jpeg:56242;г. Москва. ул. Лабачевского, 66;2019.0;Ронсон-300;;;;керамогранит (видимое крепление);;1.jpg:image/jpeg:245150;2.jpg:image/jpeg:302872;3.jpg:image/jpeg:122320;4.jpg:image/jpeg:689496;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
Торговый центр «Потапово»;0.jpg:image/jpeg:55024;г. Москва, ул. Академика Понтрягина, д. 14;2020.0;Ронсон-500;;;;декоративный камень White Hills;;1.jpg:image/jpeg:317859;2.jpg:image/jpeg:694157;3.jpg:image/jpeg:309439;;;;;;;;;;;;;;;;;;1;0;0;0;1;0;0;;1;;;;;;;
Торговый центр «Нахимовский»;0.jpg:image/jpeg:59957;г. Москва, Нахимовский пр., 59А;2019.0;Ронсон-400;;;;натуральный камень;;1.jpg:image/jpeg:388445;;;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
ЖК «Северный квартал», Московская область;0.jpg:image/jpeg:67314;г. Электросталь, пр-т Ленина, поз.1 и поз.2;2019.0;Ронсон-300;;;;керамогранит (видимое крепление);;1.jpg:image/jpeg:524689;2.jpg:image/jpeg:268323;3.jpg:image/jpeg:249470;4.jpg:image/jpeg:339311;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
ЖК «Лыткарино Хит», Московская область;0.jpg:image/jpeg:64879;г. Лыткарино, микрорайон №4а, д.5;2019.0;Ронсон-300;;;;керамогранит (видимое крепление), витражи;;1.jpg:image/jpeg:307685;2.jpg:image/jpeg:593133;3.jpg:image/jpeg:521086;4.jpg:image/jpeg:330507;;;;;;;;;;;;;;;;;1;0;1;0;0;0;0;;1;;;;;;;
ЖК «Квартал 29», Московская область;0.jpg:image/jpeg:57142;г. Мытищи, ул. Стрелковой, д.4;2020.0;Ронсон-300;;;;керамогранит (видимое крепление), витражи;;1.jpg:image/jpeg:434561;2.jpg:image/jpeg:225868;3.jpg:image/jpeg:726312;;;;;;;;;;;;;;;;;;1;0;1;0;0;0;0;;1;;;;;;;
ЖК «Флагман», Московская область;0.jpg:image/jpeg:67142;г. Раменское, Спортивный проезд, д. 6;2018.0;Ронсон-300;;;;керамогранит (видимое крепление);;1.jpg:image/jpeg:288319;2.jpg:image/jpeg:647854;3.jpg:image/jpeg:369465;4.jpg:image/jpeg:362844;5.jpg:image/jpeg:300654;6.jpg:image/jpeg:315691;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
Жилые дома по программе реновации;0.jpg:image/jpeg:53414;г. Москва, Поселение Мосрентген, квартал 24, владения 1-5;2021.0;Ронсон-400;;;;керамогранит (скрытое крепление);;1.jpg:image/jpeg:342851;2.jpg:image/jpeg:642428;3.jpg:image/jpeg:271291;4.jpg:image/jpeg:349853;5.jpg:image/jpeg:199432;6.jpg:image/jpeg:160782;;;;;;;;;;;;;;;1;0;0;1;0;0;0;;1;;;;;;;
Жилой дом по программе реновации;1.jpg:image/jpeg:9489;г. Москва, район Бескудниковский, Коровинское шоссе, 2/38;2022.0;Ронсон-500;;;;декоративный камень White Hills;;2.jpg:image/jpeg:264742;3.jpg:image/jpeg:262731;4.jpg:image/jpeg:280179;5.jpg:image/jpeg:278460;1.jpg:image/jpeg:325873;6.jpg:image/jpeg:241792;7.jpg:image/jpeg:288721;;;;;;;;;;;;;;1;0;0;0;1;1;0;;1;;;;;;;
Гостиница «Ибис»;obl.jpg:image/jpeg:34092;Гостиница «Ибис», г. Москва;2022.0;Ронсон-300;Ронсон-400;;;керамогранит;;2.jpg:image/jpeg:172990;3.jpg:image/jpeg:236422;4.jpg:image/jpeg:221984;1.jpg:image/jpeg:196879;5.jpg:image/jpeg:168562;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
